pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025/9/24,94.8,2,6.54,"Snell, Blake",606466,605483,,ball,,,,,12,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,0,1,2025,0.28,1.71,1.44,3.01,,,,1,5,Bot,,,,,,,-2.121781592,-137.8576837,-7.447681903,4.0850125177682965,30.91300374140485,-8.959974988,3.63,1.73,,,,95.8,2413,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.6,,,,,,,,41,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,160,0,0.029,,,,-0.029,,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,0.83,0.28,-0.28,,,,,,
CH,2025/9/24,85.5,2.07,6.47,"Snell, Blake",606466,605483,,called_strike,,,,,14,"Ketel Marte grounds out, shortstop Mookie Betts to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,0,0,2025,1.19,0.74,0.99,2.08,,,,1,5,Bot,,,,,,,-5.00102343,-124.4175859,-5.64582905,13.335856656502807,24.238471742158644,-23.52207557,3.63,1.73,,,,86.6,1637,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.59,,,,,,,,41,1,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,132,0,-0.04,,,,0.04,,-2,-2,0.246,0.246,32,31,33,32,3,2,,,,,2.37,1.19,-1.19,,,,,,
FF,2025/9/24,94.4,1.94,6.5,"Snell, Blake",678489,605483,field_out,hit_into_play,,,,,8,"Jorge Barrosa grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,X,5,ground_ball,0,1,2025,0.2,1.53,0.07,1.48,,,,0,5,Bot,110.45,172.31,,,,,-5.338322776,-137.0704574,-10.94052068,3.5744565275415416,27.73979960127835,-10.68336036,3.24,1.43,5,93.2,-17,95.8,2457,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.5,0.151,0.173,0,1,0,0,2,40,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,162,-0.031,-0.221,67.4,8.4,0.199,0.221,93.2,-2,-2,0.277,0.277,32,24,33,24,2,1,,,,,1.02,0.2,-0.2,,12.757956987631038,-2.153039053,31.956818570625945,36.89778484394101,21.967096526347113
CU,2025/9/24,79.6,1.85,6.58,"Snell, Blake",678489,605483,,called_strike,,,,,6,"Jorge Barrosa grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,0,0,2025,-0.73,-0.31,0.41,2.4,,,,0,5,Bot,,,,,,,-1.795758432,-116.0373687,-1.920537749,-6.316836155,20.643260059427416,-34.81082568,3.24,1.43,,,,80.6,2419,6.7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.76,,,,,,,,40,1,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,317,0,-0.04,,,,0.04,,-2,-2,0.277,0.277,32,24,33,24,2,1,,,,,3.88,-0.73,0.73,,,,,,
CH,2025/9/24,80.9,2.08,6.35,"Snell, Blake",545121,605483,field_out,hit_into_play,,,,,8,"Ildemaro Vargas grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,X,5,ground_ball,2,2,2025,1.21,0.65,-0.19,1.84,677942,,,2,4,Bot,103.86,162.17,,,,,-7.467996327,-117.5065249,-4.701749443,12.58458838972598,21.765289985249964,-25.42985178,3.36,1.57,51,100,1,82,1783,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.45,0.443,0.408,0,1,0,0,4,36,5,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,130,-0.044,-0.198,70.6,7.3,0.487,0.198,100,-2,-2,0.283,0.283,32,33,33,34,2,1,,,,,2.84,1.21,-1.21,,2.5750814766047023,-6.811480214,33.81087350121923,30.941405959593226,33.87132622638839
FF,2025/9/24,95.6,1.81,6.63,"Snell, Blake",545121,605483,,ball,,,,,12,"Ildemaro Vargas grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,1,2,2025,0.16,1.31,0.55,5.19,677942,,,2,4,Bot,,,,,,,-3.720302311,-139.2706019,-1.178689423,2.832718028081363,29.90739786708677,-15.07025481,3.36,1.57,,,,96.8,2432,6.8,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.67,,,,,,,,36,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,160,0,0.001,,,,-0.001,,-2,-2,0.283,0.283,32,33,33,34,2,1,,,,,1.17,0.16,-0.16,,,,,,
FF,2025/9/24,95.2,1.87,6.54,"Snell, Blake",545121,605483,,foul,,,,,2,"Ildemaro Vargas grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,1,1,2025,0.31,1.49,0.16,2.94,677942,,,2,4,Bot,,,,,,,-5.243684568,-138.4216043,-7.213283153,5.192756010328361,30.770525844699012,-11.58483223,3.36,1.57,224,73.1,45,96.4,2419,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.51,,,,,,,,36,3,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,159,0,-0.066,69.6,6.4,,0.066,88,-2,-2,0.283,0.283,32,33,33,34,2,1,,,,,1.03,0.31,-0.31,,-2.497990684,24.54612347371198,26.38720939937063,35.07056441152694,14.22053406464573
CH,2025/9/24,86.5,2.12,6.4,"Snell, Blake",545121,605483,,foul,,,,,9,"Ildemaro Vargas grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,S,,,1,0,2025,1.17,0.64,0.6,1.78,677942,,,2,4,Bot,,,,,,,-6.075706396,-125.707964,-6.154225556,13.640159521541081,25.362961705863928,-24.29002908,3.36,1.57,3,64.5,-30,87.4,1911,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.58,,,,,,,,36,2,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,139,0,-0.042,73.5,8.5,,0.042,88,-2,-2,0.283,0.283,32,33,33,34,2,1,,,,,2.41,1.17,-1.17,,13.603029800991902,-19.4282759,26.60813563469226,42.917060999280956,38.14099395611512
CU,2025/9/24,83,1.76,6.52,"Snell, Blake",545121,605483,,ball,,,,,13,"Ildemaro Vargas grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,AZ,LAD,B,,,0,0,2025,-0.46,-0.44,-0.28,0.95,677942,,,2,4,Bot,,,,,,,-3.810793503,-120.7547379,-5.446613077,-3.707144673,23.986733794565794,-35.56356636,3.36,1.57,,,,83.8,2567,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.63,,,,,,,,36,1,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,313,0,0.029,,,,-0.029,,-2,-2,0.283,0.283,32,33,33,34,2,1,,,,,3.75,-0.46,0.46,,,,,,
CH,2025/9/24,84.8,1.92,6.42,"Snell, Blake",694374,605483,strikeout,swinging_strike,,,,,14,Tim Tawa strikes out swinging. Blaze Alexander steals (4) 3rd base.,R,R,L,AZ,LAD,S,2,,3,2,2025,1.14,0.53,0.19,1.48,,677942,,1,4,Bot,,,,,,,-6.420143525,-123.3003267,-6.347132537,12.905174332910331,23.583765879940497,-25.75407197,3.36,1.61,,,,86.1,1724,7.1,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.44,,0,0,1,0,0,,35,6,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,133,-0.039,-0.298,75.5,7.5,,0.298,,-2,-2,0.322,0.322,32,26,33,26,2,1,,,,,2.64,1.14,-1.14,,21.842276606449335,-14.1769507,41.192156116304325,37.701167197671516,44.366910715855326
